chunk_id,theta_deg,phi_deg,M,gmin_Ainv,r_mrad,inner_ring
event://338,38.67,270.06,0,inf,inf,0
event://339,140.01,90.20,0,inf,inf,0
event://340,41.33,269.96,0,inf,inf,0
event://343,134.26,90.00,0,inf,inf,0
event://345,29.41,269.97,1,46.8073,267.23,0
event://341,137.30,90.00,0,inf,inf,0
event://342,44.15,270.10,0,inf,inf,0
event://344,133.04,89.99,0,inf,inf,0
event://346,29.64,270.25,0,inf,inf,0
event://348,150.33,89.79,0,inf,inf,0
event://347,150.10,90.04,1,46.5826,265.95,0
event://349,30.03,269.92,0,inf,inf,0
event://350,149.19,90.08,1,44.6700,255.03,0
event://351,148.77,89.98,0,inf,inf,0
event://353,147.74,89.97,1,49.2786,281.34,0
event://352,31.56,269.91,0,inf,inf,0
event://354,147.19,90.13,0,inf,inf,0
event://355,33.86,270.11,0,inf,inf,0
event://359,37.39,270.66,0,inf,inf,0
event://358,143.49,89.95,0,inf,inf,0
event://356,34.52,269.92,0,inf,inf,0
event://357,35.12,270.28,1,45.7537,261.22,0
event://360,38.74,270.14,0,inf,inf,0
event://361,40.62,267.89,0,inf,inf,0
event://362,41.05,269.95,0,inf,inf,0
event://363,137.76,90.40,1,43.6475,249.19,0
event://364,136.55,89.93,0,inf,inf,0
event://367,132.32,90.02,0,inf,inf,0
event://366,46.38,270.06,0,inf,inf,0
event://368,148.65,89.94,0,inf,inf,0
event://365,135.06,89.84,0,inf,inf,0
event://369,31.50,270.30,0,inf,inf,0
event://370,31.71,269.96,0,inf,inf,0
event://371,31.99,270.13,0,inf,inf,0
event://373,32.47,270.28,0,inf,inf,0
event://377,34.73,269.71,0,inf,inf,0
event://372,147.83,90.07,0,inf,inf,0
event://376,33.97,269.75,0,inf,inf,0
event://374,147.09,89.91,0,inf,inf,0
event://378,144.89,90.03,0,inf,inf,0
event://375,146.70,89.93,0,inf,inf,0
event://384,40.18,269.87,0,inf,inf,0
event://383,139.28,91.96,0,inf,inf,0
event://382,141.33,89.95,0,inf,inf,0
event://381,37.99,270.10,0,inf,inf,0
event://379,36.14,269.88,0,inf,inf,0
event://385,137.72,89.82,1,49.0683,280.14,0
event://380,143.01,90.05,0,inf,inf,0
event://386,136.41,89.78,1,46.4148,264.99,0
event://387,44.35,269.84,0,inf,inf,0
