Event,Misorientation_deg
//136,24.316611136188254
//137,22.140861872079352
//139,19.541849887986988
//138,20.595071153174178
//140,18.88104538296316
//141,18.53589980582318
//142,18.44541865448302
//143,18.56023547103836
//144,18.84012760762658
//145,19.252466443136868
//146,19.770911266902413
//147,20.37440239638174
//148,21.046200248586462
//149,21.772985594093875
//150,22.544238722539646
//151,23.351557241290873
//152,24.188365163647234
//153,25.049325455272214
//154,25.930252565866933
//155,26.8277174329336
//156,27.738987939304156
//157,28.661823105559538
//158,29.594421953065332
//159,30.535297885582203
//160,31.483211094334592
//162,33.39625294956724
//161,32.437148877385624
//163,34.359835781073826
//164,35.32729455640652
//165,36.29811772130467
//166,37.271896295543606
//167,38.248251417978175
//168,39.22688421419812
//169,40.20754053909024
//170,41.18995944960304
//171,42.17396447407874
//172,43.15939053726981
//174,45.33475010430614
//173,44.146077619523034
//175,39.13923738885382
//176,34.37535666729437
//177,30.709273120075128
//178,27.891292747491526
//179,25.740040624090607
//180,24.123261315812904
//181,22.94231848707047
//182,22.121333570183474
//183,21.599844031018797
//184,21.32828905675676
//185,21.265293262995435
//186,21.3759866281508
//187,21.630959416515566
//188,22.00549744305711
//189,22.479007417943723
//190,23.034363231754657
//191,23.65744657355973
//192,24.33668300055875
//193,25.062536721492403
//194,25.827234382493653
//195,26.624389113882945
//196,27.44876859987395
//197,28.29606892180947
//198,29.1627600755396
//199,30.045908947755816
//200,30.94308116066101
//202,32.771763236541226
//201,31.852259196686976
//203,33.700175449883886
//204,34.636291856163915
//205,35.579126949543905
//206,36.527820185353775
//207,37.481627308099405
//208,38.43995646181124
//209,39.40226053603214
//210,40.36807391229376
//211,41.337019163261296
//212,42.308742386339766
//213,43.28295005334891
//215,45.5210236800972
//214,44.259383481154934
//216,40.49877070876957
//217,36.460366498419496
//218,33.224313041135865
//219,30.643934225955586
//220,28.604196541849284
//221,27.015240673409522
//222,25.80602226496493
//223,24.919266152046934
//224,24.30768072067708
//225,23.931378182670816
//226,23.75622027766176
//227,23.75269930977363
//228,23.89528123633408
//229,24.161946221436875
//230,24.533768680545503
//231,24.9945395784166
//232,25.530538626358272
//233,26.130150835435
//234,26.783588696033778
//235,27.48266150650129
//236,28.220464964533488
//237,28.991251902034392
//238,29.79017652885863
//239,30.613197961063463
//240,31.45690968586379
//241,32.318420394866884
//242,33.19533750450343
//243,34.08560855928827
//244,34.98748769095147
//245,35.89951032619777
//246,36.82041313178616
//247,37.749113317148
//248,38.684695459813284
//249,39.62635167309471
//250,40.573391436480186
//251,41.5252297275109
//252,42.48134630535147
//255,45.7467532820155
//253,43.44128408761804
//254,44.404647743956204
//256,41.547014008115
//257,38.06887027583388
//258,35.20418080214274
//259,32.86083744610697
//260,30.962523063231522
//261,29.446447598537922
//262,28.260682306068393
//263,27.361646948595688
//264,26.71221883840403
//265,26.280290947093818
//266,26.03772656451524
//267,25.959770711171085
//268,26.024543583613486
//271,26.894051757756525
//269,26.21277943505174
//270,26.507528825865627
//272,27.35950078210056
//273,27.89279048346563
//274,28.48440879857092
//275,29.126178753473592
//276,29.811118330099944
//277,30.533296198959395
//278,31.287605242042737
//279,32.06974543718299
//280,32.87602885921162
//281,33.70329550048539
//282,34.54886756317239
//283,35.410439171411255
//284,36.286044832259
//285,37.17397281583171
//286,38.07278647607964
//287,38.981206692695935
//288,39.89815035036939
//289,40.82268072200644
//290,41.75395797923588
//291,42.69127514493324
//292,43.63400146882962
//293,44.58158493275403
//294,46.01082750438213
//295,42.421602701697175
//296,39.38724426867446
//297,36.83880831118068
//298,34.71529448662685
//299,32.96404024214712
//300,31.539929480109585
//301,30.404214795027713
//302,29.523331882187456
//303,28.867925095189225
//304,28.411973870059146
//305,28.13226275494139
//306,28.007974621111927
//307,28.02045880540313
//308,28.152936846801996
//309,28.390492919450647
//310,28.719867614846077
//311,29.12930914994387
//312,29.608530465723415
//313,30.148528455815228
//314,30.74141981684792
//315,31.380408120600215
//316,32.05957783269273
//317,32.773817884104446
//318,33.51871265239888
//319,34.29044076759075
//320,35.085720892886854
//321,35.901702862372936
//322,36.73591637889457
//323,37.58623240203909
//324,38.45080394406024
//325,39.32802744800497
//326,40.21649641719864
//327,41.11499528066678
//328,42.02245259289503
//329,42.93794861390156
//330,43.86064822629622
//331,44.789841768302615
//332,46.311979688422795
//333,43.195214141678434
//334,40.52061030458869
//335,38.24189431881398
//336,36.31690109983235
//337,34.70800163414726
//338,33.38190818678934
//339,32.30915629603859
//340,31.463543905283956
//341,30.821551319925472
//342,30.36194995332241
//343,30.065467062994976
//344,29.914584188566295
//345,29.893326029785996
//346,29.98718563199233
//347,30.183027752134915
//348,30.469031928135777
//349,30.834606294091614
//350,31.270304523003936
//351,31.767755246071957
//352,32.31953370888786
//353,32.91914379174695
//354,33.56086195082712
//355,34.23965400730528
//356,34.95117519105518
//357,35.69156219141156
//358,36.457498981899796
//359,37.24605365812475
